"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validate BY IDEnter the post office website; Look for an invalid Zip Code; Confirms that zip code does not exist; Return to the home screen; Search for a valid zip code Confirm that the result is: Rua Quinze de Novembro - odd side, São Paulo/SP; Returns to the home screen; ","0","Deve buscar e validar CEP por ID","","Tue Feb 11 18:59:05 GMT 2025","skipped","Tue Feb 11 18:59:05 GMT 2025","","Performs validations search screen for zip code Post Office","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingOptionLogradouroByID"
"Validate BY XPATHEnter a valid zip code; Selects the promotional Zip Code; Click to seek zip code and Confirm that captcha is not informed","3613","Deve buscar e validar CEP por XPATH selecionando CEP Promocional","","Tue Feb 11 18:59:28 GMT 2025","passed","Tue Feb 11 18:59:32 GMT 2025","","Validation new post office address search page","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithTypePromotionalZipCodeByXpath"
"Validate CSS SELECTOREnter a valid zip code; Selects Operating Unit Option; Click to seek zip code and Confirm that captcha is not informed","931","Deve buscar e validar CEP por Css Slector selecionando Unidade Operacional","","Tue Feb 11 18:59:48 GMT 2025","broken","Tue Feb 11 18:59:49 GMT 2025","","Validation new post office address search page","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithOperatingUnitOptionByCssSelector"
"Validate BY IDEnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and Confirm that captcha is not informed","947","Deve buscar e validar CEP por ID selecionando Caixa Postal Comunitária","","Tue Feb 11 18:59:43 GMT 2025","broken","Tue Feb 11 18:59:44 GMT 2025","","Validation new post office address search page","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithCommunityMailboxById"
"Validate CSS SELECTOREnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and vConfirm that captcha is not informed","945","Deve buscar e validar CEP por CSS Selector selecionando Grande Usuário","","Tue Feb 11 18:59:45 GMT 2025","broken","Tue Feb 11 18:59:46 GMT 2025","","Validation new post office address search page","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingBigUserOptionByCssSelector"
"Validate BY IDEnter a valid zip code; Selects Operating Unit Option; Click to seek zip code and valid non-existing zip code;","0","Deve buscar e validar CEP por ID selecionando Unidade Operacional","","Tue Feb 11 18:59:05 GMT 2025","skipped","Tue Feb 11 18:59:05 GMT 2025","","Performs validations search screen for zip code Post Office","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithOperatingUnitOptionById"
"Validate BY XPATHEnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and Confirm that captcha is not informed","3530","Deve buscar e validar CEP por XPATH selecionando Grande Usuário","","Tue Feb 11 18:59:14 GMT 2025","passed","Tue Feb 11 18:59:18 GMT 2025","","Validation new post office address search page","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingBigUserOptionByXpath"
"Validate BY XPATHEnter a valid zip code; Selects Operating Unit Option; Click to seek zip code and valid non-existing zip code;","2","Deve buscar e validar CEP por XPATH selecionando Unidade Operacional","","Tue Feb 11 18:59:05 GMT 2025","skipped","Tue Feb 11 18:59:05 GMT 2025","","Performs validations search screen for zip code Post Office","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithOperatingUnitOptionByXpath"
"Validate BY XPATHEnter the post office website; Look for an invalid Zip Code; Confirm that captcha is not informed","946","Deve buscar e validar CEP por XPATH","","Tue Feb 11 18:59:49 GMT 2025","broken","Tue Feb 11 18:59:50 GMT 2025","","Validation new post office address search page","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingOptionLogradouroByXpath"
"Validate BY XPATHEnter a valid zip code; Selects Community All Options; Click to seek zip code and Confirm that captcha is not informed","947","Deve buscar e validar CEP por XPATH selecionando Todos","","Tue Feb 11 18:59:46 GMT 2025","broken","Tue Feb 11 18:59:47 GMT 2025","","Validation new post office address search page","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithAllOptionsByXpath"
"Validate BY CSS SELECTOREnter the post office website; Look for an invalid Zip Code; Confirms that zip code does not exist; Return to the home screen; Search for a valid zip code Confirm that the result is: Rua Quinze de Novembro - odd side, São Paulo/SP; Returns to the home screen; ","0","Deve buscar e validar CEP por CSS Selector","","Tue Feb 11 18:59:05 GMT 2025","skipped","Tue Feb 11 18:59:05 GMT 2025","","Performs validations search screen for zip code Post Office","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingOptionLogradouroByCssSelector"
"Validate CSS SELECTOREnter a valid zip code; Selects Community All Options; Click to seek zip code and Confirm that captcha is not informed","3296","Deve buscar e validar CEP por ID selecionando Todas as Opções","","Tue Feb 11 18:59:32 GMT 2025","passed","Tue Feb 11 18:59:35 GMT 2025","","Validation new post office address search page","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithAllOptionsByCssSelector"
"Validate CSS SELECTOREnter a valid zip code; Selects Operating Unit Option; Click to seek zip code and valid non-existing zip code;","0","Deve buscar e validar CEP por Css Slector selecionando Unidade Operacional","","Tue Feb 11 18:59:05 GMT 2025","skipped","Tue Feb 11 18:59:05 GMT 2025","","Performs validations search screen for zip code Post Office","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithOperatingUnitOptionByCssSelector"
"Validate BY XPATHEnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and valid non-existing zip code;","0","Deve buscar e validar CEP por XPATH selecionando Caixa Postal Comunitária","","Tue Feb 11 18:59:05 GMT 2025","skipped","Tue Feb 11 18:59:05 GMT 2025","","Performs validations search screen for zip code Post Office","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithCommunityMailboxByXpath"
"Validate CSS SELECTOREnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and valid non-existing zip code;","0","Deve buscar e validar CEP por CSS Selector selecionando Grande Usuário","","Tue Feb 11 18:59:05 GMT 2025","skipped","Tue Feb 11 18:59:05 GMT 2025","","Performs validations search screen for zip code Post Office","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingBigUserOptionByCssSelector"
"Validate BY XPATHEnter a valid zip code; Selects the promotional Zip Code; Click to seek zip code and valid non-existing zip code;","0","Deve buscar e validar CEP por XPATH selecionando CEP Promocional","","Tue Feb 11 18:59:05 GMT 2025","skipped","Tue Feb 11 18:59:05 GMT 2025","","Performs validations search screen for zip code Post Office","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithTypePromotionalZipCodeByXpath"
"Validate BY XPATHEnter a valid zip code; Selects Community All Options; Click to seek zip code and valid non-existing zip code;","0","Deve buscar e validar CEP por XPATH selecionando Todos","","Tue Feb 11 18:59:05 GMT 2025","skipped","Tue Feb 11 18:59:05 GMT 2025","","Performs validations search screen for zip code Post Office","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithAllOptionsByXpath"
"Validate BY XPATHEnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and Confirm that captcha is not informed","3548","Deve buscar e validar CEP por XPATH selecionando Caixa Postal Comunitária","","Tue Feb 11 18:59:39 GMT 2025","passed","Tue Feb 11 18:59:42 GMT 2025","","Validation new post office address search page","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithCommunityMailboxByXpath"
"Validate BY IDEnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and valid non-existing zip code;","0","Deve buscar e validar CEP por ID selecionando Grande Usuário","","Tue Feb 11 18:59:05 GMT 2025","skipped","Tue Feb 11 18:59:05 GMT 2025","","Performs validations search screen for zip code Post Office","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingBigUserOptionById"
"Validate BY IDEnter the post office website; Look for an invalid Zip Code; Confirm that captcha is not informed","3295","Deve buscar e validar CEP por ID","","Tue Feb 11 18:59:25 GMT 2025","passed","Tue Feb 11 18:59:28 GMT 2025","","Validation new post office address search page","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingOptionLogradouroByID"
"Validate CSS SELECTOREnter a valid zip code; Selects Community All Options; Click to seek zip code and valid non-existing zip code;","0","Deve buscar e validar CEP por ID selecionando Todas as Opções","","Tue Feb 11 18:59:05 GMT 2025","skipped","Tue Feb 11 18:59:05 GMT 2025","","Performs validations search screen for zip code Post Office","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithAllOptionsByCssSelector"
"Validate BY CSS SELECTOREnter the post office website; Look for an invalid Zip Code; Confirm that captcha is not informed","967","Deve buscar e validar CEP por CSS Selector","","Tue Feb 11 18:59:44 GMT 2025","broken","Tue Feb 11 18:59:45 GMT 2025","","Validation new post office address search page","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingOptionLogradouroByCssSelector"
"Validate BY XPATHEnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and valid non-existing zip code;","0","Deve buscar e validar CEP por XPATH selecionando Grande Usuário","","Tue Feb 11 18:59:05 GMT 2025","skipped","Tue Feb 11 18:59:05 GMT 2025","","Performs validations search screen for zip code Post Office","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingBigUserOptionByXpath"
"Validate CSS SELECTOREnter a valid zip code; Selects the promotional Zip Code; Click to seek zip code and valid non-existing zip code;","0","Deve buscar e validar CEP por CSS Selector selecionando CEP Promocional","","Tue Feb 11 18:59:05 GMT 2025","skipped","Tue Feb 11 18:59:05 GMT 2025","","Performs validations search screen for zip code Post Office","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithTypePromotionalZipCodeByCssSelector"
"Validate BY IDEnter a valid zip code; Selects Operating Unit Option; Click to seek zip code and Confirm that captcha is not informed","3509","Deve buscar e validar CEP por ID selecionando Unidade Operacional","","Tue Feb 11 18:59:11 GMT 2025","passed","Tue Feb 11 18:59:14 GMT 2025","","Validation new post office address search page","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithOperatingUnitOptionById"
"Validate BY IDEnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and valid non-existing zip code;","0","Deve buscar e validar CEP por ID selecionando Caixa Postal Comunitária","","Tue Feb 11 18:59:05 GMT 2025","skipped","Tue Feb 11 18:59:05 GMT 2025","","Performs validations search screen for zip code Post Office","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithCommunityMailboxById"
"Validate BY XPATHEnter the post office website; Look for an invalid Zip Code; Confirms that zip code does not exist; Return to the home screen; Search for a valid zip code Confirm that the result is: Rua Quinze de Novembro - odd side, São Paulo/SP; Returns to the home screen; ","0","Deve buscar e validar CEP por XPATH","","Tue Feb 11 18:59:05 GMT 2025","skipped","Tue Feb 11 18:59:05 GMT 2025","","Performs validations search screen for zip code Post Office","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingOptionLogradouroByXpath"
